5-FU	C1=C(C(=O)NC(=O)N1)F
MEBUTAMATE	CCC(C)C(C)(COC(=O)N)COC(=O)N
MECAMYLAMINE	CC1(C2CCC(C2)C1(C)NC)C
MEFLOQUINE	C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
MEMANTINE	CC12CC3CC(C1)(CC(C3)(C2)N)C
MEPHENYTOIN	CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
MESALAZINE	C1=CC(=C(C=C1N)C(=O)O)O
METAXALONE	CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C
METHYCLOTHIAZIDE	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
METHYLERGONOVINE	CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
METRONIDAZOLE	CC1=NC=C(N1CCO)[N+](=O)[O-]
METYROSINE	CC(CC1=CC=C(C=C1)O)(C(=O)O)N
MIGLITOL	C1C(C(C(C(N1CCO)CO)O)O)O
MIGLUSTAT	CCCCN1CC(C(C(C1CO)O)O)O
MILRINONE	CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
MINOXIDIL	C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
MINOXIDIL SULFATE	C1CCN(CC1)C2=CC(=[N+](C(=N2)N)OS(=O)(=O)[O-])N
MYCOPHENOLIC ACID	CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC
NABILONE	CCCCCCC(C)(C)C1=CC2=C(C3CC(=O)CCC3C(O2)(C)C)C(=C1)O
NALTREXONE	C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O
NATEGLINIDE	CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O
NICLOSAMIDE	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
NISOLDIPINE	CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
NITAZOXANIDE	CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]
NITISINONE	C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-]
NITROSOGLUTATHIONE	C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N
NIZATIDINE	CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C
NORCISAPRIDE	COC1CNCCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl
OLMESARTAN	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
OLMESARTAN MEDOXOMIL	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O
ORLISTAT	CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
OSELTAMIVIR	CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
OSELTAMIVIR ACID	CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)O
OXYPHENBUTAZONE	CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
OXYPHENONIUM BROMIDE	CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.[Br-]
PALONOSETRON	C1CC2CN(C(=O)C3=C2C(=CC=C3)C1)C4CN5CCC4CC5
PARGYLINE	CN(CC#C)CC1=CC=CC=C1
PAZOPANIB	CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N
PENTAMIDINE	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
PENTOLINIUM TARTRATE	C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C.C(C(C(=O)[O-])O)(C(=O)O)O.C(C(C(=O)[O-])O)(C(=O)O)O
PENTOSTATIN	C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
PHENPROCOUMON	CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
PHENSUXIMIDE	CN1C(=O)CC(C1=O)C2=CC=CC=C2
PINACIDIL	CC(C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1
PIPERAZINE HEXAHYDRATE	C1CNCCN1.O.O.O.O.O.O
PRAZIQUANTEL	C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
PREDNISOLONE	CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O
PRIMIDONE	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
PROBENECID	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
PROBUCOL	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C
PROCARBAZINE	CC(C)NC(=O)C1=CC=C(C=C1)CNNC
PROGUANIL	CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl
PROPYLTHIOURACIL	CCCC1=CC(=O)NC(=S)N1
PYRAZINAMIDE	C1=CN=C(C=N1)C(=O)N
PYRAZINOIC ACID	C1=CN=C(C=N1)C(=O)O
RAMELTEON	CCC(=O)NCCC1CCC2=C1C3=C(C=C2)OCC3
RANOLAZINE	CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
RIBAVIRIN	C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
RILUZOLE	C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
RISPERIDONE	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
RUFINAMIDE	C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F
SAXAGLIPTIN	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N
SILDENAFIL	CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
SITAGLIPTIN	C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N
SPIRONOLACTONE	CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
STANOZOLOL	CC12CCC3C(C1CCC2(C)O)CCC4C3(CC5=C(C4)NN=C5)C
SULBACTAM	CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)C
SULFAMETER	COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
SUMATRIPTAN	CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C
TACRINE	C1CCC2=NC3=CC=CC=C3C(=C2C1)N
TACROLIMUS	CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
TERAZOSIN	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC
TESTOLACTONE	CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C
TESTOSTERONE	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
TETRABENAZINE	CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
THEOPHYLLINE	CN1C2=C(C(=O)N(C1=O)C)NC=N2
THIABENDAZOLE	C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
TIAGABINE	CC1=C(SC=C1)C(=CCCN2CCCC(C2)C(=O)O)C3=C(C=CS3)C
TINIDAZOLE	CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C
TIZOXANIDE	C1=CC=C(C(=C1)C(=O)NC2=NC=C(S2)[N+](=O)[O-])O
TOLAZOLINE	C1CN=C(N1)CC2=CC=CC=C2
TOLVAPTAN	CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C
TOPIRAMATE	CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
TRANEXAMIC ACID	C1CC(CCC1CN)C(=O)O
TRANYLCYPROMINE	C1C(C1N)C2=CC=CC=C2
TRAZODONE	C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
TRIAMTERENE	C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N
TRIFLUOPERAZINE	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
TRIFLUPROMAZINE	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F
TRIHEXYPHENIDYL	C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O
TRILOSTANE	CC12CCC3C(C1CCC2O)CCC45C3(CC(=C(C4O5)O)C#N)C
TRIMETHOBENZAMIDE	CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC
TRIMETHOPRIM	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
TRIOXSALEN	CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C
ULIPRISTAL ACETATE	CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)OC(=O)C
VALPROIC ACID	CCCC(CCC)C(=O)O
VARENICLINE	C1C2CNCC1C3=CC4=NC=CN=C4C=C23
VECURONIUM BROMIDE	CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-]
ZAFIRLUKAST	CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
ZALCITABINE	C1CC(OC1CO)N2C=CC(=NC2=O)N
ZALEPLON	CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C
ZILEUTON	CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O
ZONISAMIDE	C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
(-)-BLEBBISTATIN	CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
10058-F4	CCC1=CC=C(C=C1)C=C2C(=O)NC(=S)S2
2-METHOXYESTRADIOL	CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O
20-HYDROXYECDYSONE	CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O
5-HYDROXYTRYPTOPHAN	C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
6-MERCAPTOPURINE	C1=NC2=C(N1)C(=S)N=CN2
7-AMINOCEPHALOSPORANIC ACID	CC(=O)OCC1=C(N2C(C(C2=O)N)SC1)C(=O)O
7-ETHYL-10-HYDROXYCAMPTOTHECIN	CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)O
A-674563	CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N
ABT-737	CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ACADESINE	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N
ACIPIMOX	CC1=CN=C(C=[N+]1[O-])C(=O)O
ADAPALENE	COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
ADEFOVIR DIPIVOXIL	CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
ADX-47273	C1CC(CN(C1)C(=O)C2=CC=C(C=C2)F)C3=NC(=NO3)C4=CC=C(C=C4)F
AG-1478	COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC
AGI-5198	CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC(=CC=C3)F)C(=O)CN4C=CN=C4C
AMG-458	CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC
AMG-900	CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N
AMILORIDE HYDROCHLORIDE	C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl
AR-42	CC(C)C(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO
AS-252424	C1=CC(=C(C=C1F)O)C2=CC=C(O2)C=C3C(=O)NC(=O)S3
AS-604850	C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
AST-1306	C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=C(C=C3)OCC4=CC(=CC=C4)F)Cl
ATORVASTATIN CALCIUM	CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]
ATROPINE	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
AFATINIB	CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4
AGOMELATINE	CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC
ALBENDAZOLE OXIDE	CCCS(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC
ALIBENDOL	COC1=C(C(=CC(=C1)CC=C)C(=O)NCCO)O
ALISERTIB	COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
ALOE-EMODIN	C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)CO)O
ALOPERINE	C1CCN2CC3CC(C2C1)C=C4C3NCCC4
AMBRISENTAN	CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C
AMONAFIDE	CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N
AMUVATINIB	C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6
ANACETRAPIB	CC1C(OC(=O)N1CC2=C(C=CC(=C2)C(F)(F)F)C3=CC(=C(C=C3OC)F)C(C)C)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
ANDARINE	CC(=O)NC1=CC=C(C=C1)OCC(C)(C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)O
ANDROGRAPHOLIDE	CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O
APATINIB	C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4
APIXABAN	COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
ARRY-380	CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CNCCS(=O)(=O)C)OC5=CC6=NC=NN6C=C5
ARTESUNATE	CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C
ASIATIC ACID	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O
ASTRAGALOSIDE A	CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C
AURORA A INHIBITOR I	CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F
AVAGACESTAT	C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)C(CCC(F)(F)F)C(=O)N)Cl
AVASIMIBE	CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)CC2=C(C=C(C=C2C(C)C)C(C)C)C(C)C
AVOBENZONE	CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC
AZELNIDIPINE	CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C
BI-D1870	CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
BIBR-1048	CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N
BIX02188	CN(C)CC1=CC(=CC=C1)NC(=C2C3=C(C=C(C=C3)C(=O)N)NC2=O)C4=CC=CC=C4
BMS-378806	CC1CN(CCN1C(=O)C(=O)C2=CNC3=NC=CC(=C23)OC)C(=O)C4=CC=CC=C4
BMS-599626	CC1=C2C(=NC=NN2C=C1NC(=O)OCC3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
BMS-707035	CN1C(=O)C(=C(N=C1N2CCCCS2(=O)=O)C(=O)NCC3=CC=C(C=C3)F)O
BMS-754807	CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F
BMS-777607	CCOC1=C(C(=O)N(C=C1)C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F
BMS-833923	CC1=C(C=C(C=C1)CNC)NC(=O)C2=CC=C(C=C2)NC3=NC4=CC=CC=C4C(=N3)C5=CC=CC=C5
BUTOCONAZOLE NITRATE	C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-]
BX-912	C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br
BAICALIN	C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
BALOFLOXACIN	CNC1CCCN(C1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F
BARDOXOLONE METHYL	CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
BELINOSTAT	C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO
BEXAROTENE	CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
BILOBALIDE	CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O
BIMATOPROST	CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O
BINDARIT	CC(C)(C(=O)O)OCC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3
BIRINAPANT	CCC(C(=O)N1CC(CC1CC2=C(NC3=C2C=CC(=C3)F)C4=C(C5=C(N4)C=C(C=C5)F)CC6CC(CN6C(=O)C(CC)NC(=O)C(C)NC)O)O)NC(=O)C(C)NC
BLEOMYCIN SULFATE	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-]
BOSUTINIB	CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
BRIVANIB	CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C
CAPECITABINE	CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
CAY10505	C1=CC(=CC=C1C2=CC=C(O2)C=C3C(=O)NC(=O)S3)F
CEP-32496	CC(C)(C1=CC(=NO1)NC(=O)NC2=CC(=CC=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(F)(F)F
CEP-33779	CN1CCN(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C
CHIR-124	C1CN2CCC1C(C2)NC3=C4C=C(C=CC4=NC(=O)C3=C5NC6=CC=CC=C6N5)Cl
CICLOPIROX	CC1=CC(=O)N(C(=C1)C2CCCCC2)O
CINCHONIDINE	C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
CLOBETASOL PROPIONATE	CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl
CLORSULON	C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl
CNX-774	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)C=C)F
CORTISONE ACETATE	CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O
CP-673451	COCCOC1=CC2=C(C=C1)N(C=N2)C3=NC4=C(C=CC=C4N5CCC(CC5)N)C=C3
CP-724714	CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C=CCNC(=O)COC)C.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O
CP-91149	CN(C)C(=O)C(C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O
CPI-613	C1=CC=C(C=C1)CSCCC(CCCCC(=O)O)SCC2=CC=CC=C2
CUDC-101	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
CUDC-907	CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO
CYPROTERONE ACETATE	CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C
CYTISINE	C1C2CNCC1C3=CC=CC(=O)N3C2
CABOZANTINIB	COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F
CANAGLIFLOZIN	CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
CARFILZOMIB	CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
CEDIRANIB	CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
CEFOSELIS SULFATE	CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CN4C=CC(=N)N4CCO)C(=O)O.OS(=O)(=O)O
CEPHALOMANNINE	CC=C(C)C(=O)NC(C1=CC=CC=C1)C(C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)O)(C(=O)C(C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O
CHRYSOPHANOL	CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)O
CILENGITIDE	CC(C)C1C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1C)CC2=CC=CC=C2)CC(=O)O)CCCN=C(N)N
CILOMILAST	COC1=C(C=C(C=C1)C2(CCC(CC2)C(=O)O)C#N)OC3CCCC3
CINACALCET HYDROCHLORIDE	CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl
CIPROFIBRATE	CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl
CLADRIBINE	C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
CLEVUDINE	CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F
CLINDAMYCIN HYDROCHLORIDE	CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl.Cl
COSTUNOLIDE	CC1=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C
CRENOLANIB	CC1(COC1)COC2=CC3=C(C=C2)N(C=N3)C4=NC5=C(C=CC=C5N6CCC(CC6)N)C=C4
CRYPTOTANSHINONE	CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
CURCUMOL	CC1CCC2C13CC(C(O3)(CC2=C)O)C(C)C
CYCLOCYTIDINE HYDROCHLORIDE	C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N.Cl
DANOPREVIR	CC(C)(C)OC(=O)NC1CCCCCC=CC2CC2(NC(=O)C3CC(CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)NS(=O)(=O)C6CC6
DAPTOMYCIN	CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
DEFLAZACORT	CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C
DESONIDE	CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C
DICLAZURIL	C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl
DOXOFYLLINE	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC3OCCO3
DULOXETINE HYDROCHLORIDE	CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.Cl
DABRAFENIB	CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F
